"","word","n"
"361","domesitc",1
"362","domestic",68
"363","domesticviolence",1
"364","dri",1
"365","dringon",1
"366","drink",2
"367","driv",4
"368","drive",6
"369","driver",2
"370","drivinf",1
"371","driving",262
"372","drivingonrevoked",1
"373","drivingonrevokedlic",2
"374","drivingonsuspendedlic",16
"375","drivingwithoutalic",8
"376","drivinig",1
"377","drivivingwithoutalic",1
"378","drivivng",1
"379","drug",46
"380","drunk",3
"381","drv",1
"382","dsiorderly",1
"383","dtain",2
"384","dui",41
"385","dump",8
"386","dur",7
"387","dv",2
"388","dw",2
"389","dwell",35
"390","dwelling",1
"391","dwi",4
"392","dwol",1
"393","e4th",1
"394","ecstasy",1
"395","elec",7
"396","election",1
"397","elude",1
"398","eluding",2
"399","employee",5
"400","endadangerment",1
"401","endanger",1
"402","endangerment",33
"403","enforcment",12
"404","ent",2
"405","entering",25
"406","entry",1
"407","equip",9
"408","escape",25
"409","exceed",1
"410","executi",1
"411","executive",1
"412","exhibit",2
"413","exhivit",1
"414","exparte",200
"415","explode",2
"416","exposure",19
"417","extortion",2
"418","f.t.o",1
"419","fa",1
"420","fail",386
"421","failed",2
"422","failing",3
"423","failuire",1
"424","failure",8061
"425","fair",1
"426","false",222
"427","falsified",1
"428","fare",2
"429","fed",7
"430","federal",7
"431","fedral",1
"432","fel",23
"433","fel0ny",1
"434","felo",3
"435","felon",10
"436","felony",17
"437","file",2
"438","filing",1
"439","final",2
"440","financ",2
"441","fine",20
"442","firearm",82
"443","firearm:illegal",29
"444","firearm:stolen",4
"445","firearms",9
"446","fireworks",2
"447","flase",2
"448","fleeing",7
"449","florida",6
"450","flse",1
"451","fluid",1
"452","fol",6
"453","fonr",1
"454","foreign",2
"455","forg",6
"456","forge",2
"457","forged",14
"458","forgery",51
"459","fourth",132
"460","fra",1
"461","fraud",63
"462","fraye",1
"463","frge",4
"464","frist",2
"465","front",1
"466","fta",112
"467","fto",59
"468","fugiive",1
"469","fugitive",172
"470","fugitivie",1
"471","fugittive",1
"472","fugitve",1
"473","fuigtive",1
"474","gambling",8
"475","gaming",7
"476","gen",13
"477","george",1
"478","georgia",3
"479","goo",7
"480","govt",4
"481","gun",21
"482","h.g.v",1
"483","hacking",3
"484","hampshire",1
"485","hand",8
"486","handgn",1
"487","handgun",172
"488","harass",59
"489","harassment",2
"490","harbor",18
"491","harboring",2
"492","harrassment",2
"493","hendering",1
"494","heri",1
"495","herio",1
"496","herion",50
"497","hero",1
"498","heroi",1
"499","heroin",451
"500","heron",2
"501","hgu",1
"502","hgv",196
"503","hide",2
"504","hin",1
"505","hind",1
"506","hinder",2
"507","hindering",122
"508","hindersing",1
"509","hit",5
"510","hndgun",1
"511","home",5
"512","house",61
"513","hr",8
"514","hrs",6
"515","human",6
"516","hydromorphone",1
"517","id",14
"518","ident",11
"519","identification",1
"520","identity",3
"521","ill",1
"522","illegal",4
"523","image",2
"524","impaired",4
"525","imprisonment",10
"526","incld",1
"527","indecent",19
"528","inetnt",1
"529","influ",2
"530","influence",32
"531","info",19
"532","infotheft",2
"533","infringment",1
"534","ingest",2
"535","inj",18
"536","inju",2
"537","injur",8
"538","injure",135
"539","insurance",1
"540","int",360
"541","int.dist",1
"542","int.dist.cocaine",1
"543","int.dist.heroin",3
"544","inte",1
"545","inten",2
"546","intent",87
"547","intentional",1
"548","interfere",61
"549","interim",1
"550","intimidate",15
"551","intimidation",2
"552","intox",1
"553","intox:endanger",29
"554","intoxicated",2
"555","intoxication",1
"556","invasion",5
"557","investigation",1
"558","issu",1
"559","issue",27
"560","ist",5
"561","jacking",2
"562","jersey",4
"563","jur",6
"564","juror",8
"565","justice",26
"566","kansas",3
"567","kentuc",1
"568","kentucky",1
"569","kidnap",6
"570","kidnapping",16
"571","la",1
"572","laarceny",1
"573","lacreny",1
"574","lanceny",1
"575","lar",1
"576","larceby",1
"577","larcency",3
"578","larceney",1
"579","larceny",457
"580","larency",1
"581","law",17
"582","lawfl",137
"583","lawful",2
"584","lawfull",1
"585","lbs",8
"586","le",1
"587","lease",8
"588","leave",1
"589","leaving",5
"590","leavingthesceneofaccident",1
"591","left",1
"592","lg",26
"593","li",1
"594","lic",58
"595","licen",1
"596","licence",1
"597","license",178
"598","licns",1
"599","lifting",2
"600","linfluence",1
"601","litter",8
"602","littering",5
"603","livestock",45
"604","loc",1
"605","lockout",1
"606","loitering",13
"607","looting",3
"608","loud",2
"609","louisiana",1
"610","lsd",3
"611","ma",1
"612","mace",28
"613","mail",6
"614","mal",455
"615","maldestruction",1
"616","malicious",33
"617","malicous",1
"618","mansl",4
"619","manslaughter",5
"620","manuf",394
"621","manufac",1
"622","manufacture",2
"623","mar",8
"624","maraijuana",1
"625","mari",6
"626","marihua",1
"627","marihuan",3
"628","marihuana",4234
"629","marij",12
"630","marijana",1
"631","marijauana",1
"632","marijauna",1
"633","mariju",10
"634","marijua",1
"635","marijuan",19
"636","marijuana",404
"637","marijuanan",1
"638","marijuna",2
"639","marijuuana",1
"640","marj",1
"641","marjuana",2
"642","massage",2
"643","material",1
"644","materl",3
"645","max",1
"646","mdma",2
"647","mdop",1
"648","ment",4
"649","methylenedi",1
"650","mexi",1
"651","mfg",1
"652","milicious",1
"653","minor",44
"654","minors",6
"655","mis",1
"656","misd",4
"657","misdemeanor",51
"658","misleading",6
"659","misrep",4
"660","missiles",4
"661","missouri",1
"662","misuse",3
"663","misuse:repeat",64
"664","misuse:single",6
"665","mj",2
"666","mke",4
"667","mmark",1
"668","molly",1
"669","money",11
"670","morphine",1
"671","mot",2
"672","motor",165
"673","movie",1
"674","murder",194
"675","mutilate",4
"676","mutual",1
"677","mv",45
"678","narc",310
"679","narcotic",1
"680","narcotics",7
"681","neg",4
"682","neglect",55
"683","night",1
"684","noise",2
"685","north",4
"686","nos",3
"687","notify",2
"688","nsf",2
"689","nsfund",1
"690","ob",1
"691","obey",239
"692","obstruct",7
"693","obstructing",67
"694","obstruction",1
"695","obtain",9
"696","obtn",18
"697","ocntainer",1
"698","offen",1
"699","offender",18
"700","offens",1
"701","offense",6
"702","offi",3
"703","offic",12
"704","officer",79
"705","official",2
"706","olny",1
"707","operating",1
"708","opp",2
"709","opr",1
"710","ord",63
"711","orde",11
"712","outstate",1
"713","over500.00",1
"714","oxycodone",6
"715","p.w.i",1
"716","pa",12
"717","pack",3
"718","pandering",2
"719","panhandling",1
"720","para",311
"721","paraphenilia",1
"722","paraphenlia",1
"723","parapher",1
"724","paraphernalia",14
"725","parph",1
"726","parte",7
"727","pass",6
"728","pay",54
"729","payme",2
"730","paymen",1
"731","payment",1
"732","pbey",1
"733","pblic",1
"734","pcp",1
"735","pe",1
"736","peace",172
"737","penn",1
"738","pennisylvania",1
"739","pennslyvania",1
"740","pennsy",5
"741","pennsylvania",43
"742","per.ident.avoid",1
"743","percoc",1
"744","percocet",2
"745","percocets",1
"746","perjury",2
"747","permit",2
"748","peroperty",1
"749","person",43
"750","perverted",25
"751","perveted",1
"752","pf",2
"753","pharm",1
"754","pharmaceuticals",1
"755","pharmacy",8
"756","pharmency",1
"757","phy",1
"758","phys",19
"759","physica",1
"760","physical",24
"761","pistol",2
"762","plac",2
"763","plate",4
"764","ploice",1
"765","pol",5
"766","poli",2
"767","polic",1
"768","police",120
"769","popss",2
"770","pos",9
"771","posess",1
"772","posession",2
"773","poss",2114
"774","poss:heroin",1
"775","poss.cds",5
"776","poss.cocaine",8
"777","poss.heroin",9
"778","poss.paraphernalia",1
"779","poss.stolen",2
"780","poss.suboxone",1
"781","poss.w",7
"782","poss.wint.dist",1
"783","posseion",1
"784","posses",3
"785","possesion",18
"786","possess",64
"787","possessing",3
"788","possession",905
"789","possesson",1
"790","possetion",1
"791","possision",1
"792","possission",1
"793","possof",1
"794","posssion",1
"795","possw",3
"796","posted",84
"797","pr",8
"798","pra",1
"799","practice",23
"800","practicing",1
"801","pratice",2
"802","pres",5
"803","presc",5
"804","presc:illegal",1
"805","prescr",5
"806","prescrip",7
"807","prescription",3
"808","prescrp",1
"809","preten",1
"810","pretense",18
"811","preverted",1
"812","pri",1
"813","prince",1
"814","priv",41
"815","private",229
"816","pro",2
"817","probati",42
"818","probation",1625
"819","prohib",1
"820","proof",3
"821","prop",468
"822","prope",10
"823","proper",12
"824","propert",2
"825","properts",1
"826","property",481
"827","pros",5
"828","prosititution",1
"829","prositution",9
"830","prost",2
"831","prosti",2
"832","prostition",1
"833","prostittion",1
"834","prostittution",3
"835","prostituion",5
"836","prostituition",1
"837","prostitutiion",1
"838","prostitution",2682
"839","prostituton",1
"840","prostitutuion",3
"841","prostiution",1
"842","prostutition",1
"843","prostutution",1
"844","prot",189
"845","protec",1
"846","protecti",2
"847","protectio",2
"848","protection",10
"849","protectiv",3
"850","protective",21
"851","protitution",1
"852","provi",1
"853","provide",1
"854","pub",19
"855","public",13
"856","pwi",110
"857","pwid",160
"858","pymny",1
"859","rape",2
"860","rec",2
"861","reckless",36
"862","recor",1
"863","recordg",1
"864","records",1
"865","recovered",1
"866","refuising",1
"867","refuse",1
"868","reg",57
"869","regis",3
"870","register",3
"871","registrati",2
"872","regular",1
"873","rel",2
"874","relativ",8
"875","rels",2
"876","remain",1
"877","remand",6
"878","removal",14
"879","renble",137
"880","rental",1
"881","rentd:fail",19
"882","report",3
"883","req",7
"884","required",1
"885","res",2
"886","residential",12
"887","residentional",1
"888","resist",60
"889","resisting",5
"890","resiting",1
"891","restaruant",1
"892","restaurant",2
"893","restrain",1
"894","retail",1
"895","retaliate",29
"896","return",20
"897","rev",1
"898","revoked",6
"899","rfl",4
"900","rifle",8
"901","riot",1
"902","ro",1
"903","rob",1
"904","robber",1
"905","robberry",1
"906","robbery",556
"907","roberry",1
"908","robery",2
"909","rogue",36
"910","roster",2
"911","rouge",1
"912","run",5
"913","sale",1
"914","scene",6
"915","scheme",67
"916","school:fail",47
"917","se",6
"918","sec",5631
"919","seg",1
"920","sell",5
"921","selling",1
"922","send",47
"923","service",2
"924","services",5
"925","sex",16
"926","sexual",1
"927","shelter",1
"928","shop",2
"929","shoplifiting",1
"930","shoplift",1
"931","shoplifting",38
"932","shopligting",1
"933","shot",5
"934","shotgn",4
"935","shotgun:unregister",1
"936","shotgun:unregistered",2
"937","sidewalk",1
"938","sign",4
"939","signature",2
"940","slander",1
